linhaFonte,codigoProdutoLegado,descricaoCadastro,numeroLote,validade,quantidade,custoUnitario,pendencias
23,CS00008,ÁGUA PARA INJEÇÃO 500ML - CX/50 - FRESENIUS,74TF2828,2026-05-31,24,3.9,"validade vencida; entrada bloqueada pelo ERP"
24,A1C0001,"AGULHA 13X0,45MM CX/100 DESCARPACK",,,9200,0.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
25,AH20004,"AGULHA 20X0,55MM CX/100 LABOR IMPORT",,,1900,0.06,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
28,A3X0003,"AGULHA 25X0,7MM CX/100 SOLIDOR",,,1400,0.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
29,A3X0007,"AGULHA 30X0,8MM CX/100 DESCARPACK",,,4900,0.03,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
30,A3X0002,"AGULHA 30X0,8MM CX/100 SOLIDOR",,,9800,0.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
43,A7A0003,ALCOOL 70% 1000ML SEPTPRO - CX/12 - PROLINK,,,36,5.73,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
45,AE70002,ALCOOL ETILICO 70% 1000ML - CX/12 - PROLINK,,,20,5.35,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
46,AE70003,ALCOOL ETILICO 70% 1000ML- CX/12 - RIALCOOL 70 - RIOQUÍMICA,,,11,3,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
63,APV0001,APARELHO DE PRESSÃO VELCRO S/ESTETO - ACCUMED,,,3,64.63,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
66,ABG0004,AVENTAL BRANCO GR 30 MEDIA S/M - PCT10 - DEJAMARO,,,100,8.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
68,ACE0002,AVENTAL CIRURGICO ESTERIL STANDARD AZUL ML 40GR C/TOALHA - CX/40 - PION G,,,40,10.3,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
72,ABG0006,AVENTAL VERDE GR MEDIA S/M - PCT/10 - DEJAMARO,,,88,8.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
77,BPT0002,BOLSA PARA TRANSPORTE REANIMADOR PROTEC UND,088132001,,19,30,saldo positivo sem validade identificada
82,BE20001,BUTILBROMETO DE ESCOPOLAMINA 20MG/ML FR 1ML CX/ 100 - FARMACE,HS25C012,,500,0.7,saldo positivo sem validade identificada
85,CBS0003,CALÇA E BLUSA SMS AZUL C/ELASTICO M N/ESTERIL (PIJAMA) - CX/50 - PION G,,,106,8.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
86,CCE0004,"CAMPO CIRURGICO ESTERIL SMS 0,50X0,50 C/FENESTRA - CX/300 - PION G",,,596,2.15,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
87,CCF0001,"CAMPO CIRURGICO FEN (10CM) 0,60X0,60M - BEST FABRIL",,,150,1.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
88,COE0003,CAMPO OPERATÓRIO ESTÉRIL 23X25CM RADIOPACK 8G ANTONELLA PCT/50 - AMED,,,50,6.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
89,COE0001,CAMPO OPERATÓRIO ESTÉRIL 25X28CM - PCT/5 - POLAR FIX,,,1,6.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
93,CA20002,CATETER ARTERIAL 20GA 5CM (RADIAL) - ARROW - LOT: 71F22C0184,,2027-02-28,2,30,saldo positivo sem lote identificado
94,CA20001,CATETER ARTERIAL 20GA 5CM (RADIAL) - ARROW - LOT: 71F23D0018,,2028-03-31,3,30,saldo positivo sem lote identificado
95,CDL0014,CATETER DUPLO LUMEN 5FRX13CM INFANTIL - MEDIKA IND,170224CV,2020-02-29,5,25,"validade vencida; entrada bloqueada pelo ERP"
96,CDL0015,CATETER DUPLO LUMEN 5FRX13CM INFANTIL - MEDIKA IND,190825CV,2020-08-31,2,24,"validade vencida; entrada bloqueada pelo ERP"
105,CP10001,CATETER JELCO 14G - CX/100 - DESCARPACK,,,100,0.35,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
116,C(20009,CATETER PAM RADIAL 20GX80MM - B BRAUN,24L2284401,2020-11-30,1,30,"validade vencida; entrada bloqueada pelo ERP"
119,CTL0009,CATETER TRIPLO LUMEN 7FRX20CM - B BRAUN,25B28A8551,2020-02-29,28,25,"validade vencida; entrada bloqueada pelo ERP"
122,CTL0003,CATETER TRIPLO LUMEN 7FRX20CM - BIOMEDICAL,44641,2020-11-30,2,35,"validade vencida; entrada bloqueada pelo ERP"
123,CTL0010,CATETER TRIPLO LUMEN 7FRX20CM - ALIVE HEART,T230727A,2020-07-31,31,25,"validade vencida; entrada bloqueada pelo ERP"
125,CTL0007,CATETER TRIPLO LUMEN 7FRX20CM - ARROW,71F24H0926,2020-07-31,30,38,"validade vencida; entrada bloqueada pelo ERP"
126,CTL0006,CATETER TRIPLO LUMEN 7FRX20CM - BIOMEDICAL,202407006,2020-07-31,12,38,"validade vencida; entrada bloqueada pelo ERP"
127,CS20006,CAVILON SPRAY 28ML - 3M,,,33,15,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
158,CP10002,CEFTAZIDIMA PENTAIDRATADA 1G - CX/50 - FRESENIUS,78UC1109,2020-03-31,100,3,"validade vencida; entrada bloqueada pelo ERP"
171,C1I0002,CETOPROFENO 100MG IV - CX/50 - CRISTALIA,L50036145,2020-12-31,5,3.3,"validade vencida; entrada bloqueada pelo ERP"
172,C1I0001,CETOPROFENO 100MG IV - CX/50 - CRISTALIA,L50036153,2020-12-31,9,3.3,"validade vencida; entrada bloqueada pelo ERP"
173,C1I0004,CETOPROFENO 100MG IV - CX/50 - UNIÃO QUIMICA,2515291,2020-03-31,1,3.3,"validade vencida; entrada bloqueada pelo ERP"
183,CF10014,"CITRATO DE FENTANILA 10ML/0,05MG - CX/25 - UNIÃO QUÍMICA",2545425,2020-10-31,15,2.5,"validade vencida; entrada bloqueada pelo ERP"
232,CS10027,CLORETO DE SUXAMETÔNIO 100MG - CX/1 - UNIAO QUIMICA,2435611,2020-09-30,1,10,"validade vencida; entrada bloqueada pelo ERP"
235,CS10015,CLORETO DE SUXAMETÔNIO 100MG - CX/1 - UNIAO QUIMICA,2516309,2020-04-30,2,10,"validade vencida; entrada bloqueada pelo ERP"
244,CS10035,CLORETO DE SUXAMETÔNIO 100MG - CX/10 - BLAU,26011017,2020-12-31,21,10,"validade vencida; entrada bloqueada pelo ERP"
246,CA50007,CLORIDRATO DE AMIODARONA 50MG/ML - CX/100 - HIPOLABOR,AD-019/25,2020-05-31,100,2,"validade vencida; entrada bloqueada pelo ERP"
249,CB+0003,"CLORIDRATO DE BUPIVACAINA 0,5% 5MG/ML 20ML C/ EPINEFRINA - CX/10 - CRISTALIA",50025241,2020-08-31,10,1,"validade vencida; entrada bloqueada pelo ERP"
251,CB50005,CLORIDRATO DE BUPIVACAINA 5MG/ML + GLICOSE 80MG/ML 4ML - CX/100 - HIPOLABOR,AR-006/25,2020-03-31,5,1,"validade vencida; entrada bloqueada pelo ERP"
252,CB50003,CLORIDRATO DE BUPIVACAINA 5MG/ML 20ML - CX/25 - HIPOLABOR,AR-011/25,2020-02-29,9,2,"validade vencida; entrada bloqueada pelo ERP"
253,CB50002,CLORIDRATO DE BUPIVACAINA 5MG/ML 20ML - CX/25 - HYPOFARMA,25020680,2020-02-29,1,2,"validade vencida; entrada bloqueada pelo ERP"
258,CC10018,CLORIDRATO DE CEFEPIMA 1G - CX/50 - TEUTO,96120034,2020-10-31,100,4.5,"validade vencida; entrada bloqueada pelo ERP"
262,CD(0010,CLORIDRATO DE DEXMEDETOMIDINA 100MCG/2ML - CX/5 - VOLPHARMA (PRECEDEX),A0670025,2020-09-30,2,5,"validade vencida; entrada bloqueada pelo ERP"
274,CH(0004,CLORIDRATO DE HIDRALAZINA (NEPRASOL) 20MG/1ML CX/50 CRISTALIA,50028884,2020-12-31,35,6.6,"validade vencida; entrada bloqueada pelo ERP"
283,CL20006,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50038185VL,,10,5.3,saldo positivo sem validade identificada
289,CLG0011,CLORIDRATO DE LIDOCAINA GELEIA 2% - 20MG - 1 BISNAGA 30G - PHARLAB,252891,2020-06-30,12,2.5,"validade vencida; entrada bloqueada pelo ERP"
290,CLG0001,CLORIDRATO DE LIDOCAINA GELEIA 2% - 20MG - 1 BISNAGA 30G - PHARLAB,254836,2020-08-31,71,2.5,"validade vencida; entrada bloqueada pelo ERP"
292,CLG0018,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25F1185,2020-08-31,41,2.5,"validade vencida; entrada bloqueada pelo ERP"
293,CLG0015,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25H1022,2020-08-31,6,2.5,"validade vencida; entrada bloqueada pelo ERP"
294,CLG0017,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25H1031,2020-09-30,9,2.5,"validade vencida; entrada bloqueada pelo ERP"
295,CLG0022,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25H1041,2020-09-30,4,2.5,"validade vencida; entrada bloqueada pelo ERP"
296,CLG0003,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25H1051,2020-10-31,49,2.5,"validade vencida; entrada bloqueada pelo ERP"
297,CLG0020,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25J1400,2020-10-31,5,2.5,"validade vencida; entrada bloqueada pelo ERP"
328,CIM0001,"COBERTURA ESTERIL DE MESA AUXILIAR 1,30X1,30 PION G CX/80",,,30,7.09,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
333,CP00001,COLETOR DE PERFUROCORTANTE 03LT (AMARELO) - DESCARBOX,,,14,1,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
334,CP00002,COLETOR DE PERFUROCORTANTE 07LT (AMARELO) CX/40 - DESCARBOX,,,100,1,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
335,CUS0004,COLETOR DE URINA SIST. FECHADO 2000ML BOLSA C/P COLETA ESTERIL - CX/90 - LABOR IMPORT,,,94,2.75,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
337,CG70004,"COMPRESSAS DE GAZE 7,5 X 7,5 09 FIOS LÍVIA ESTERIL - PCT/10 - AMED",,,80,0.3,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
344,CG70005,"COMPRESSAS DE GAZE 7,5 X 7,5 13 FIOS ESTERIL LIVIA - PCT/10 - AMED",,,110,0.55,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
346,CYA0001,CONECTOR Y AD PSU COM FURO AUTOCLAVEL 134 PROTEC,085154001,,13,35,saldo positivo sem validade identificada
351,CNI0058,CONTRASTE NÃO IONICO 300MG/100ML - OMNIPAQUE,17271060,2020-06-30,1,55,"validade vencida; entrada bloqueada pelo ERP"
352,CNI0039,CONTRASTE NÃO IONICO 300MG/100ML - GE HEALTHCARE (OMNIPAQUE),17217887,2020-04-30,2,70,"validade vencida; entrada bloqueada pelo ERP"
359,CB60001,CREME BARREIRA 60G - CX/12 - PROLINK,P25090167,2020-09-30,20,10.2,"validade vencida; entrada bloqueada pelo ERP"
365,CBU0001,"CURATIVO BOTA UNNA 10,2CMX9,14M - CASEX",,,10,21.1,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
366,CS(0029,CURATIVO HIDROCOLOIDE 10CMX10CM - CX/10 - (KANGLI DERM) VITAMEDICAL,20250316,2020-03-31,20,6.48,"validade vencida; entrada bloqueada pelo ERP"
375,CS(0033,CURATIVO SURGICEL (1952) 10.2CMX20.3CM 4X8 - ETHICON,104TRD,2020-07-31,9,40,"validade vencida; entrada bloqueada pelo ERP"
378,DPS0003,DESINFETANTE FLORAL CORDEX 5L,,,6,9.47,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
379,DPS0002,DESINFETANTE PINHO SOL 1LT,,,3,9.47,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
380,DFC0001,DETERGENTE NEUTRO CLEAN CORDEX 5L,,,1,9.47,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
384,P2B0006,DIAZEPAM 10MG/2ML - CX/100 - SANTISA,20102725,2020-10-31,100,0.99,"validade vencida; entrada bloqueada pelo ERP"
394,DS40001,DRENO DE SUCCAO 4.8MM (3/16) 500ML SEROVAC - CX/20 SEROPLAST,,,108,20.55,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
398,E2-0002,ENOXAPARINA 20MG - CX/10 - VIATRIS,AA13481C,2020-01-31,30,6,"validade vencida; entrada bloqueada pelo ERP"
415,ENP0001,EQUIPO DE NUTRIÇÃO P/ BOMBA DE INFUSUSORA (NUTRI-HART PLUS 2 VIAS) - CX/50 - HARTMANN CÓD.171.110,,,428,13.5,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
416,EMC0005,EQUIPO INFUSÃO 2 VIAS C/ CLAMP LS PCT/25 - DESCARPACK,,,50,1.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
420,EMC0004,EQUIPO MACROGOTAS C/INJ LATERAL LUER LOCK PCT/25 DESCARPACK,,,20,1.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
421,EMC0003,EQUIPO MACROGOTAS C/INJ LATERAL LUER SLIP PCT/25 - MEDIX,,,25,1.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
422,EMC0001,EQUIPO MACROGOTAS C/INJ LATERAL LUER SLIP PCT/25 DESCARPACK,,,25,1.05,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
423,EMC0002,EQUIPO MICROGOTAS C/INJ LATERAL LUER LOCK - PCT/25 - LABOR IMPORT,,,288,1.1,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
429,EI10002,"ESPARADRAPO IMPÉRMEAVEL 5X4,5 - MISSNER - ADPELE",,,274,3,"saldo positivo sem lote identificado; saldo positivo sem validade identificada"
431,EH10001,ESPONJA HEMOSTATICA 125X80X10MM - CUTANPLAST,3738,2020-10-31,1,15,"validade vencida; entrada bloqueada pelo ERP"
433,EH10006,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),257525,2020-04-30,2,15,"validade vencida; entrada bloqueada pelo ERP"
438,EHH0006,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),069625,2020-01-31,2,15,"validade vencida; entrada bloqueada pelo ERP"
440,EHH0013,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),147025,2020-02-29,3,15,"validade vencida; entrada bloqueada pelo ERP"
441,EHH0012,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),163525,2020-03-31,4,15,"validade vencida; entrada bloqueada pelo ERP"
442,EHH0010,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),163625,2020-03-31,6,15,"validade vencida; entrada bloqueada pelo ERP"
